date,open,high,low,close,adj_close,volume
"Aug 27, 2025",487.56,487.56,487.56,487.56,487.56,-
"Aug 26, 2025",486.40,486.40,486.40,486.40,486.40,-
"Aug 25, 2025",484.37,484.37,484.37,484.37,484.37,-
"Aug 22, 2025",486.44,486.44,486.44,486.44,486.44,-
"Aug 21, 2025",479.13,479.13,479.13,479.13,479.13,-
"Aug 20, 2025",481.00,481.00,481.00,481.00,481.00,-
"Aug 19, 2025",482.17,482.17,482.17,482.17,482.17,-
"Aug 18, 2025",484.97,484.97,484.97,484.97,484.97,-
"Aug 15, 2025",484.97,484.97,484.97,484.97,484.97,-
"Aug 14, 2025",486.27,486.27,486.27,486.27,486.27,-
"Aug 13, 2025",486.11,486.11,486.11,486.11,486.11,-
"Aug 12, 2025",484.52,484.52,484.52,484.52,484.52,-
"Aug 11, 2025",479.08,479.08,479.08,479.08,479.08,-
"Aug 8, 2025",480.23,480.23,480.23,480.23,480.23,-
"Aug 7, 2025",476.48,476.48,476.48,476.48,476.48,-
"Aug 6, 2025",476.83,476.83,476.83,476.83,476.83,-
"Aug 5, 2025",473.40,473.40,473.40,473.40,473.40,-
"Aug 4, 2025",475.68,475.68,475.68,475.68,475.68,-
"Aug 1, 2025",468.77,468.77,468.77,468.77,468.77,-
"Jul 31, 2025",476.39,476.39,476.39,476.39,476.39,-
"Jul 30, 2025",478.11,478.11,478.11,478.11,478.11,-
"Jul 29, 2025",478.71,478.71,478.71,478.71,478.71,-
"Jul 28, 2025",480.12,480.12,480.12,480.12,480.12,-
"Jul 25, 2025",480.05,480.05,480.05,480.05,480.05,-
"Jul 24, 2025",478.12,478.12,478.12,478.12,478.12,-
"Jul 23, 2025",477.79,477.79,477.79,477.79,477.79,-
"Jul 22, 2025",474.09,474.09,474.09,474.09,474.09,-
"Jul 21, 2025",473.78,473.78,473.78,473.78,473.78,-
"Jul 18, 2025",473.11,473.11,473.11,473.11,473.11,-
"Jul 17, 2025",473.13,473.13,473.13,473.13,473.13,-
"Jul 16, 2025",470.60,470.60,470.60,470.60,470.60,-
"Jul 15, 2025",469.10,469.10,469.10,469.10,469.10,-
"Jul 14, 2025",470.93,470.93,470.93,470.93,470.93,-
"Jul 11, 2025",470.27,470.27,470.27,470.27,470.27,-
"Jul 10, 2025",471.82,471.82,471.82,471.82,471.82,-
"Jul 9, 2025",470.46,470.46,470.46,470.46,470.46,-
"Jul 8, 2025",467.62,467.62,467.62,467.62,467.62,-
"Jul 7, 2025",467.96,467.96,467.96,467.96,467.96,-
"Jul 3, 2025",471.65,471.65,471.65,471.65,471.65,-
"Jul 2, 2025",467.67,467.67,467.67,467.67,467.67,-
"Jul 1, 2025",465.45,465.45,465.45,465.45,465.45,-
"Jun 30, 2025",465.96,465.96,465.96,465.96,465.96,-
"Jun 27, 2025",463.54,463.54,463.54,463.54,463.54,-
"Jun 26, 2025",461.10,461.10,461.10,461.10,461.10,-
"Jun 25, 2025",457.43,457.43,457.43,457.43,457.43,-
"Jun 24, 2025",452.39,452.39,452.39,452.39,452.39,-
"Jun 23, 2025",452.39,452.39,452.39,452.39,452.39,-
"Jun 20, 2025",448.07,448.07,448.07,448.07,448.07,-
"Jun 18, 2025",449.03,449.03,449.03,449.03,449.03,-
"Jun 17, 2025",449.17,449.17,449.17,449.17,449.17,-
"Jun 16, 2025",452.93,452.93,452.93,452.93,452.93,-
"Jun 13, 2025",448.65,448.65,448.65,448.65,448.65,-
"Jun 12, 2025",453.69,453.69,453.69,453.69,453.69,-
"Jun 11, 2025",451.97,451.97,451.97,451.97,451.97,-
"Jun 10, 2025",453.21,453.21,453.21,453.21,453.21,-
"Jun 9, 2025",450.72,450.72,450.72,450.72,450.72,-
"Jun 6, 2025",450.27,450.27,450.27,450.27,450.27,-
"Jun 5, 2025",445.66,445.66,445.66,445.66,445.66,-
"Jun 4, 2025",447.98,447.98,447.98,447.98,447.98,-
"Jun 3, 2025",447.92,447.92,447.92,447.92,447.92,-
"Jun 2, 2025",445.33,445.33,445.33,445.33,445.33,-
"May 30, 2025",443.43,443.43,443.43,443.43,443.43,-
"May 29, 2025",443.43,443.43,443.43,443.43,443.43,-
"May 28, 2025",441.67,441.67,441.67,441.67,441.67,-
"May 27, 2025",444.13,444.13,444.13,444.13,444.13,-
"May 23, 2025",435.21,435.21,435.21,435.21,435.21,-
"May 22, 2025",438.12,438.12,438.12,438.12,438.12,-
